"","lake_id","lake_name","county","latitude","longitude","reachcode"
"121",147,"Morgan Lake","Union",45.30117,-118.136,17060104001358
"122",148,"Mowich Lake","Linn",44.50072,-121.881,17090005012350
"123",149,"North Fork Reservoir","Clackamas",45.23652,-122.264,17090011005288
"124",150,"North Tenmile Lake","Coos",43.59367,-124.138,17100304000655
"125",151,"North Twin Lake","Deschutes",43.72775,-121.766,17070301000908
"126",152,"Obenchain Reservoir","Klamath",42.4706,-121.002,18010202003345
"127",153,"Ochoco Reservoir","Crook",44.30613,-120.69,17070305009769
"128",154,"Olalla Reservoir","Lincoln",44.68576,-123.923,17100204005506
"129",155,"Olive Lake","Grant",44.7817,-118.603,17070202005406
"130",156,"Pamelia Lake","Linn",44.65317,-121.847,17090005000768
"131",157,"Lake Penland","Morrow",45.12007,-119.313,17070202001525
"132",158,"Pine Hollow Reservoir","Wasco",45.24811,-121.295,17070306010954
"133",159,"Platt 1 Reservoir","Douglas",43.39122,-123.249,17100301005061
"134",160,"Rock Creek Reservoir","Harney",42.68815,-119.321,17120008004578
"135",161,"Rock Creek Reservoir","Wasco",45.22117,-121.387,17070306010961
"136",162,"Roslyn Lake","Clackamas",45.42384,-122.242,17080001017591
"137",163,"Round Valley Reservoir","Klamath",42.13577,-121.079,18010204002282
"138",164,"Saunders Lake","Coos",43.53375,-124.219,17100304000659
"139",165,"Scott Lake","Lane",44.21578,-121.89,17090004006177
"140",166,"Lake Selmac","Josephine",42.26067,-123.578,17100311011257
"141",167,"Lake Simtustus","Jefferson",44.65391,-121.256,17070306011851
"142",168,"Smith Lake","Clatsop",46.14111,-123.935,17080006006591
"143",169,"Smith Reservoir","Linn",44.31983,-122.046,17090004007103
"144",170,"South Twin Lake","Deschutes",43.71377,-121.767,17070301000912
"145",171,"Sparks Lake","Deschutes",44.01545,-121.743,17070301005459
"146",172,"Spring Lake","Klamath",42.094,-121.747,18010204002235
"147",173,"Squaw Lakes","Jackson",42.04079,-123.02,17100309000673
"148",174,"Strawberry Lake","Grant",44.30709,-118.685,17070201001696
"149",175,"Strawberry Reservoir","Lake",42.1046,-120.851,18010204002341
"150",176,"Summer Lake","Lake",42.82335,-120.738,17120005004769
"151",177,"Summit Lake","Klamath",43.45635,-122.122,17070302001212
"152",178,"Sunset Lake","Clatsop",46.09175,-123.927,17100201000712
"153",179,"Thief Valley Reservoir","Union",45.02669,-117.803,17050203006118
"154",180,"Thompson Reservoir","Lake",42.93643,-121.086,17120005001399
"155",181,"Three Creek Lake","Deschutes",44.09916,-121.627,17070301000853
"156",182,"Threemile Lake","Douglas",43.76639,-124.17,17100207011137
"157",183,"Todd Lake","Deschutes",44.02918,-121.686,17070301000856
